name,tier,rf_importance,univariate,mi
MSCODE,weak,0.0009195074828985975,0.0197967731437149,0.0011021702696800244
CHCKDNY2,strong,0.0009144842685560378,0.052351860164671325,0.0012629904853059986
DRNKANY6,moderate,0.0009082910348451434,0.02548264673005895,0.0005751605784190816
TYPCNTR9,weak,0.0009075760648034834,0.09611691265867708,0.0011540195769839479
CNCRAGE,weak,0.0009041682369277315,0.15777144307376506,0.017628564731539953
CERVSCRN,weak,0.0008974044194209194,0.03425353684385192,0.00035001055310521223
CVDSTRK3,strong,0.0008926167529616637,0.05002884728851864,0.0011497469930020223
SOMALE,weak,0.0008679503572385582,0.14883398502443676,0.0013356916355593896
_RFDRHV9,weak,0.0008659244030705519,0.042531980981453714,0.0009161933347430623
COLNSIGM,weak,0.0008556321655125516,0.040831894968726606,0.00018583297323837935
_LCSPSTF,weak,0.0008409082695109269,0.05774197419726554,0.0014982139625413886
FIREARM5,moderate,0.0008283496597429701,0.05777668111427854,0.00020009140180816433
CRGVREL5,moderate,0.0008227069963766574,0.08117734418352612,0.0005378379673849139
VETERAN3,moderate,0.0008144213579588227,0.026708555220567556,0.0003752885496085053
CHCSCNC1,strong,0.0007996597389927952,0.01958848127398506,0.000187988695882478
_MICHD,weak,0.0007987442277705427,0.03782770389408983,0.0006623737210698089
_URBSTAT,weak,0.0007924553317547698,0.0016671659006670364,1.6539436269169538e-07
ASTHNOW,strong,0.0007846135575642876,0.06908922125060044,0.0015155612054620843
_SGMS102,weak,0.0007829821166188609,0.050299792554381134,0.000579418636677851
_SGMSCP2,weak,0.0007790267337464284,0.050318277946781516,0.0005797988939052201
_MAM402Y,weak,0.0007530028574685188,0.03561982712119717,0.0017966051483833262
_RFPAP37,weak,0.0007297315855432506,0.005024851424317792,0.0016842700919552228
PREDIAB2,strong,0.0007245080304731915,0.06517410263886925,0.0005073389215604388
ACEADSAF,strong,0.0007194761028874645,0.22019824230691465,0.0009022773847021451
MARJEAT,moderate,0.000709059023422388,0.05008901459550558,0.001733048259342196
CRGVLNG2,moderate,0.0006934926058608038,0.04492565335747186,0.0004133857500070703
_ALTETH3,weak,0.0006760848443351559,0.04955642074589639,0.0006979811888941888
CHKHEMO3,weak,0.0006597148964504361,0.001323517500188993,0.007664040467097344
ACEDEPRS,strong,0.0006596869138746144,0.28265919319814486,0.0017197373682789237
_HADSIGM,weak,0.000648036349807816,0.03867229633504814,0.00014100667529995392
ACESWEAR,strong,0.0006468637685052506,0.22533870639099063,0.0008891231701962645
USENOW3,moderate,0.000645265609647755,0.006361626824230425,1.4565194578597396e-05
ACETOUCH,strong,0.0006445171183838106,0.22554363444433292,0.0011477689465027498
CRVCLPAP,weak,0.0006418846248810106,0.026081944719067912,0.00011604135349287201
CVDINFR4,strong,0.000641515867993095,0.02777124576823394,0.00036496544793210295
HEATTBCO,weak,0.0006342544454794081,0.012374553641185148,5.0010022791569214e-05
CAREGIV1,strong,0.0006321874433915838,0.07086895060231886,0.0006174025939234571
CNCRTYP2,weak,0.0005922433095712383,0.029546899165323257,0.016225037573402545
_HLTHPL2,weak,0.000585816178314532,0.005130529990066658,9.651686991643538e-06
MARJVAPE,moderate,0.0005640413874172982,0.1008413077778131,0.001675103419294043
_LCSELIG,weak,0.0005485243083570122,0.056830476813357705,0.0014612356315649583
DIABEYE1,weak,0.0005467778510909089,0.06100437888791244,0.0001430015209113712
SDNATES1,weak,0.0005460273926389672,0.0578381697825522,7.794190366667311e-05
STOOLDN2,weak,0.0005308732377849966,0.01878848707008243,4.357481632183684e-05
CDDISCU1,strong,0.0005264188474421118,0.19974958070775234,0.0006754130575669957
CRGVHRS2,moderate,0.0005146091458097964,0.09435571180227281,0.0006089185576379625
EYEEXAM1,weak,0.0005082843549681355,0.0804928648301476,0.00015557409586612478
MARJSMOK,moderate,0.0005007708685842094,0.01965991266821202,0.0008398890835152354
_STOLDN2,weak,0.0004948786389127339,0.027207233806883113,0.00016315223890464754
DIABEDU1,weak,0.0004935821465221076,0.030213734213299696,5.013688847216732e-05
STOPSMK2,weak,0.000492204717471602,0.06252056828846705,0.0014259427546423717
_PAPHPV1,weak,0.000489254575712363,0.027159240864100126,0.000498412731176498
GUNLOAD,weak,0.00048704073065977465,0.04079864493114937,7.038245340588854e-05
ACEHURT1,strong,0.00048061353820273874,0.16050556837100413,0.0004355974559942669
VIRCOLO1,weak,0.00046558317666407073,0.010073658830684496,1.6691192303091467e-05
USEMRJN4,weak,0.00046034605811350694,0.05395835650885944,0.0008885678498896046
ACEPUNCH,strong,0.00045235722392999056,0.1819262002794297,0.0006520609653916428
VCLNTES2,weak,0.00044782415580986136,0.06389209825264078,4.249758159995064e-05
CDWORRY,strong,0.00043389818344941646,0.21477936427606728,0.0003739182242074105
ARTHEXER,weak,0.0004320204577597648,0.07801803051466813,4.655343542371668e-05
ACEADNED,strong,0.0004272888232554883,0.14474863460444745,0.0004064858840634911
SMALSTOL,weak,0.0004202948931047263,0.010670908684024955,7.869304965641907e-06
MENTCIGS,weak,0.00039448268554291663,0.03164108015488046,0.0007984035187351066
ACETTHEM,strong,0.0003937771732731741,0.1876935366758265,0.0008118821328465349
ACEDRINK,strong,0.000390031796716942,0.1658436204474931,0.00046324830192623345
ACEDIVRC,strong,0.0003878884842430425,0.08611308087641438,5.5550476849630225e-05
HPVADVC4,moderate,0.00037010921204628676,0.11790086020481798,0.0005539589827568118
TETANUS1,moderate,0.00035545914990996706,0.06687747681151107,1.6660388810309083e-05
_VIRCOL2,weak,0.0003484675599498783,0.022455325585183438,0.00011386120006316464
CRGVPER2,moderate,0.00034839945977392325,0.07552599941919648,0.0005378987101148805
HADSEX,weak,0.0003179283520875789,0.04639067605682998,0.0006095507564651264
ACEHVSEX,strong,0.0003157600070242296,0.1652497696258216,0.0006622715175883401
MENTECIG,weak,0.0003116221953966512,0.024730698987950054,0.0007900582182479789
PSATEST1,weak,0.00030906168544488424,0.055296036213471914,0.0001892002451404736
PCSTALK2,weak,0.00029623030682579586,0.061780618223871334,0.00051007481864191
BLDSTFIT,weak,0.00028830740432717126,0.04502737412992441,5.054845709426389e-05
ACEDRUGS,strong,0.0002676148460379069,0.1649587499562336,0.000609613379689948
CRGVALZD,strong,0.0002627314240839702,0.055155095020609814,0.0002723801303558416
LASTSIG4,weak,0.00026151290050624427,0.1052319324977248,5.269932076589921e-05
LOADULK2,weak,0.0002515505170184207,0.029567330091450676,8.455605377931486e-06
MARJDAB,moderate,0.00023989549568632,0.0705977859701663,0.0007170834117289994
CRGVNURS,moderate,0.00023497682816844842,0.06443152835532384,0.00034548153591431186
